"","gains_losses","value","flux","case"
"186","south_extwalls_conduction_gain",47332.1855843583,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"187","north_extwalls_conduction_gain",200821.389529522,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"188","west_extwalls_conduction_gain",618548.420542163,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"189","east_extwalls_conduction_gain",112525.809447146,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"190","none_roof_conduction_loss",-282878.33771972,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"191","none_floor_conduction_loss",-1088326.82427332,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"192","none_intwalls_conduction_loss",-516820.504355972,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"193","south_extwalls_conduction_loss",-577325.112681752,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"194","north_extwalls_conduction_loss",-158597.774866126,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"195","west_extwalls_conduction_loss",-604588.661177131,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"196","east_extwalls_conduction_loss",-137607.954184751,"Conduction","U001_Caso01_1a7_hi_in1_1.csv"
"197","none_roof_solarrad_gain",346678.718461978,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"198","none_floor_solarrad_gain",382416.234208216,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"199","none_intwalls_solarrad_gain",402811.087592341,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"200","south_extwalls_solarrad_gain",102302.893921924,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"201","north_extwalls_solarrad_gain",54098.7199253114,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"202","west_extwalls_solarrad_gain",156428.801951552,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"203","east_extwalls_solarrad_gain",56655.1040456787,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"204","none_roof_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"205","none_floor_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"206","none_intwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
"207","south_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_hi_in1_1.csv"
