"","gains_losses","value","flux","case","city","app","case_graph","gains","exchange","sum","per"
"106","none_roof_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1138218.8073818,0
"107","none_floor_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1402503.35131599,0
"108","none_intwalls_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1723545.38241085,0
"109","south_extwalls_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-495960.427845522,0
"110","east_extwalls_lwinternal_loss",0,"lwinternal","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1213334.83675694,0
"111","none_roof_lwsurfaces_gain",58026.8005764952,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","roof",1138220.65489593,0.051
"112","none_floor_lwsurfaces_gain",408297.178093163,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","floor",1402504.51015534,0.2911
"113","none_intwalls_lwsurfaces_gain",568452.95589858,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1723548.28956615,0.3298
"114","south_extwalls_lwsurfaces_gain",265121.862580508,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",495961.096024245,0.5346
"115","east_extwalls_lwsurfaces_gain",181748.856270493,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1213334.14445817,0.1498
"116","none_roof_lwsurfaces_loss",-644679.105422184,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1138218.8073818,0.5664
"117","none_floor_lwsurfaces_loss",-216261.31754374,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1402503.35131599,0.1542
"118","none_intwalls_lwsurfaces_loss",-82269.0868870154,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1723545.38241085,0.0477
"119","south_extwalls_lwsurfaces_loss",-75165.8022064166,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-495960.427845522,0.1516
"120","east_extwalls_lwsurfaces_loss",-646310.747375273,"lwsurfaces","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1213334.83675694,0.5327
"121","none_roof_convection_gain",4286.37235693826,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","roof",1135656.54371768,0.0038
"122","none_floor_convection_gain",34775.8992901219,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","floor",1391052.04532387,0.025
"123","none_intwalls_convection_gain",89426.3010301454,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","intwalls",1704654.84686363,0.0525
"124","south_extwalls_convection_gain",20720.4393724157,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","south_extwalls",493784.849913121,0.042
"125","east_extwalls_convection_gain",225.785144241164,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","east_extwalls",1224838.25549145,2e-04
"126","none_roof_convection_loss",-388184.815815153,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","roof",-1135654.68143355,0.3418
"127","none_floor_convection_loss",-627453.060500022,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","floor",-1391050.87054475,0.4511
"128","none_intwalls_convection_loss",-803485.208958217,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","intwalls",-1704651.91880937,0.4713
"129","south_extwalls_convection_loss",-227049.157514855,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","south_extwalls",-493784.179243688,0.4598
"130","east_extwalls_convection_loss",-550035.817957744,"convection","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","east_extwalls",-1224838.92070699,0.4491
"131","none_roof_conduction_gain",931656.691797682,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","roof",1135656.54371768,0.8204
"132","none_floor_conduction_gain",764749.430506452,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","floor",1391052.04532387,0.5498
"133","none_intwalls_conduction_gain",782992.418231909,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","intwalls",1704654.84686363,0.4593
"134","south_extwalls_conduction_gain",152916.212857473,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","south_extwalls",493784.849913121,0.3097
"135","east_extwalls_conduction_gain",890916.725454355,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","east_extwalls",1224838.25549145,0.7274
"136","none_roof_conduction_loss",-102821.84594859,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","roof",-1135654.68143355,0.0905
"137","none_floor_conduction_loss",-547550.213661515,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","floor",-1391050.87054475,0.3936
"138","none_intwalls_conduction_loss",-820020.265804404,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","intwalls",-1704651.91880937,0.481
"139","south_extwalls_conduction_loss",-191581.033691108,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","south_extwalls",-493784.179243688,0.388
"140","east_extwalls_conduction_loss",-29674.3297329794,"conduction","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","east_extwalls",-1224838.92070699,0.0242
"141","none_roof_solarrad_gain",107031.270868713,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","roof",1135656.54371768,0.0942
"142","none_floor_solarrad_gain",152232.826519923,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","floor",1391052.04532387,0.1094
"143","none_intwalls_solarrad_gain",201820.822521809,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","intwalls",1704654.84686363,0.1184
"144","south_extwalls_solarrad_gain",35831.4535738665,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","south_extwalls",493784.849913121,0.0726
"145","east_extwalls_solarrad_gain",120597.100890268,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","east_extwalls",1224838.25549145,0.0985
"146","none_roof_solarrad_loss",0,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","roof",-1135654.68143355,0
"147","none_floor_solarrad_loss",0,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","floor",-1391050.87054475,0
"148","none_intwalls_solarrad_loss",0,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","intwalls",-1704651.91880937,0
"149","south_extwalls_solarrad_loss",0,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","south_extwalls",-493784.179243688,0
"150","east_extwalls_solarrad_loss",0,"solarrad","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","east_extwalls",-1224838.92070699,0
"151","none_roof_swlights_gain",2590.52916371877,"swlights","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","roof",1135656.54371768,0.0023
"152","none_floor_swlights_gain",2590.52916371877,"swlights","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","floor",1391052.04532387,0.0019
"153","none_intwalls_swlights_gain",4368.67503203347,"swlights","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","intwalls",1704654.84686363,0.0026
"154","south_extwalls_swlights_gain",1724.53337123817,"swlights","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","south_extwalls",493784.849913121,0.0035
"155","east_extwalls_swlights_gain",2741.80093970235,"swlights","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","gain","east_extwalls",1224838.25549145,0.0022
"156","none_roof_swlights_loss",0,"swlights","U001_Caso01_1a7_hi_in1_1.csv","belem","DORM1","Hybrid","loss","roof",-1135654.68143355,0
