"","gains_losses","value","case","city","app","case_graph","gains","exchange","per"
"113","vn_window_loss",-5533.0839091271,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","vn_window",0.0019
"114","vn_window_gain",2703.94701407609,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","vn_window",9e-04
"115","vn_interzone_loss",-90261.7839620293,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","loss","vn_interzone",0.0303
"116","vn_interzone_gain",53416.9565280563,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM2","Air Conditioner","gain","vn_interzone",0.0179
"117","none_roof_convection_gain",371744.183028631,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","roof",0.1234
"118","none_floor_convection_gain",602744.563738559,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","floor",0.2001
"119","none_intwalls_convection_gain",705132.150818553,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","intwalls",0.2341
"120","north_extwalls_convection_gain",351550.786770187,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","north_extwalls",0.1167
"121","west_extwalls_convection_gain",93690.3087502488,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","west_extwalls",0.0311
"122","east_extwalls_convection_gain",409740.929101829,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","east_extwalls",0.136
"123","east_windows_convection_gain",37361.9065692794,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","east_windows",0.0124
"124","none_roof_convection_loss",-1490.25321854106,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","roof",5e-04
"125","none_floor_convection_loss",-37761.0804331284,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","floor",0.0126
"126","none_intwalls_convection_loss",-75423.5332452455,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","intwalls",0.0252
"127","north_extwalls_convection_loss",-17026.5311442627,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","north_extwalls",0.0057
"128","west_extwalls_convection_loss",-6700.00930296224,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","west_extwalls",0.0022
"129","east_extwalls_convection_loss",-223.291016539075,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","east_extwalls",1e-04
"130","east_windows_convection_loss",-27719.270935217,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","east_windows",0.0093
"131","internal_gains",380731.751016753,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","internal_gains",0.1264
"132","cooling",-2672685.44950088,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","cooling",0.8921
"133","heating",0,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","heating",0
"134","vn_window_loss",-5270.4174881402,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","vn_window",0.0018
"135","vn_window_gain",2704.48016017465,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","vn_window",9e-04
"136","vn_interzone_loss",-151539.034998803,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","loss","vn_interzone",0.0506
"137","vn_interzone_gain",57300.8160213145,"U001_Caso01_1a7_hi_in1_1.csv","belem","DORM2","Hybrid","gain","vn_interzone",0.019
"138","none_roof_convection_gain",168743.23284228,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","roof",0.1152
"139","none_floor_convection_gain",227867.467917752,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM2","Natural Ventilation","gain","floor",0.1556
