"","month","gains_losses","value","case"
"213",12,"west_extwalls_convection_loss",-7991.38044698424,"U001_Caso01_1a7_ac_in1_1.csv"
"214",12,"east_extwalls_convection_loss",-1395.34821211761,"U001_Caso01_1a7_ac_in1_1.csv"
"215",12,"south_windows_convection_loss",-4846.81278734321,"U001_Caso01_1a7_ac_in1_1.csv"
"216",12,"west_windows_convection_loss",-4142.01297299065,"U001_Caso01_1a7_ac_in1_1.csv"
"217",1,"internal_gains",67092.9562731646,"U001_Caso01_1a7_ac_in1_1.csv"
"218",1,"cooling",-315104.10210124,"U001_Caso01_1a7_ac_in1_1.csv"
"219",1,"heating",0,"U001_Caso01_1a7_ac_in1_1.csv"
"220",1,"vn_window_loss",-12984.0920625518,"U001_Caso01_1a7_ac_in1_1.csv"
"221",1,"vn_window_gain",3455.36001575763,"U001_Caso01_1a7_ac_in1_1.csv"
"222",1,"vn_interzone_loss",-4096.10660106349,"U001_Caso01_1a7_ac_in1_1.csv"
"223",1,"vn_interzone_gain",24937.2275601024,"U001_Caso01_1a7_ac_in1_1.csv"
"224",2,"internal_gains",60904.0455268761,"U001_Caso01_1a7_ac_in1_1.csv"
"225",2,"cooling",-330427.484789375,"U001_Caso01_1a7_ac_in1_1.csv"
"226",2,"heating",0,"U001_Caso01_1a7_ac_in1_1.csv"
"227",2,"vn_window_loss",-9807.70694237824,"U001_Caso01_1a7_ac_in1_1.csv"
"228",2,"vn_window_gain",3911.37515447131,"U001_Caso01_1a7_ac_in1_1.csv"
"229",2,"vn_interzone_loss",-2709.80939232694,"U001_Caso01_1a7_ac_in1_1.csv"
"230",2,"vn_interzone_gain",28864.2601014826,"U001_Caso01_1a7_ac_in1_1.csv"
"231",3,"internal_gains",67254.8734255037,"U001_Caso01_1a7_ac_in1_1.csv"
"232",3,"cooling",-313357.961646641,"U001_Caso01_1a7_ac_in1_1.csv"
"233",3,"heating",0,"U001_Caso01_1a7_ac_in1_1.csv"
"234",3,"vn_window_loss",-12658.6446858797,"U001_Caso01_1a7_ac_in1_1.csv"
"235",3,"vn_window_gain",2665.44161449439,"U001_Caso01_1a7_ac_in1_1.csv"
"236",3,"vn_interzone_loss",-3531.02034275918,"U001_Caso01_1a7_ac_in1_1.csv"
"237",3,"vn_interzone_gain",32613.7013248993,"U001_Caso01_1a7_ac_in1_1.csv"
"238",4,"internal_gains",64767.9426654853,"U001_Caso01_1a7_ac_in1_1.csv"
"239",4,"cooling",-222740.477807441,"U001_Caso01_1a7_ac_in1_1.csv"
"240",4,"heating",0,"U001_Caso01_1a7_ac_in1_1.csv"
"241",4,"vn_window_loss",-12716.886394698,"U001_Caso01_1a7_ac_in1_1.csv"
"242",4,"vn_window_gain",1852.55524193834,"U001_Caso01_1a7_ac_in1_1.csv"
"243",4,"vn_interzone_loss",-3566.5681655547,"U001_Caso01_1a7_ac_in1_1.csv"
"244",4,"vn_interzone_gain",36995.2688989014,"U001_Caso01_1a7_ac_in1_1.csv"
"245",5,"internal_gains",67308.3322851403,"U001_Caso01_1a7_ac_in1_1.csv"
"246",5,"cooling",-93828.8932801525,"U001_Caso01_1a7_ac_in1_1.csv"
"247",5,"heating",0,"U001_Caso01_1a7_ac_in1_1.csv"
"248",5,"vn_window_loss",-18810.3796031436,"U001_Caso01_1a7_ac_in1_1.csv"
"249",5,"vn_window_gain",740.635754271973,"U001_Caso01_1a7_ac_in1_1.csv"
"250",5,"vn_interzone_loss",-10580.1732440485,"U001_Caso01_1a7_ac_in1_1.csv"
"251",5,"vn_interzone_gain",46738.4329516405,"U001_Caso01_1a7_ac_in1_1.csv"
"252",6,"internal_gains",65613.1934384396,"U001_Caso01_1a7_ac_in1_1.csv"
"253",6,"cooling",-39900.2056512268,"U001_Caso01_1a7_ac_in1_1.csv"
"254",6,"heating",0,"U001_Caso01_1a7_ac_in1_1.csv"
"255",6,"vn_window_loss",-17257.8902568973,"U001_Caso01_1a7_ac_in1_1.csv"
"256",6,"vn_window_gain",837.80884213459,"U001_Caso01_1a7_ac_in1_1.csv"
"257",6,"vn_interzone_loss",-15395.4362611713,"U001_Caso01_1a7_ac_in1_1.csv"
"258",6,"vn_interzone_gain",48323.1026993336,"U001_Caso01_1a7_ac_in1_1.csv"
"259",7,"internal_gains",67002.6633714177,"U001_Caso01_1a7_ac_in1_1.csv"
"260",7,"cooling",-32460.9827750288,"U001_Caso01_1a7_ac_in1_1.csv"
"261",7,"heating",3880.29421467768,"U001_Caso01_1a7_ac_in1_1.csv"
"262",7,"vn_window_loss",-18315.5742988739,"U001_Caso01_1a7_ac_in1_1.csv"
"263",7,"vn_window_gain",895.681304680609,"U001_Caso01_1a7_ac_in1_1.csv"
"264",7,"vn_interzone_loss",-16046.8560454075,"U001_Caso01_1a7_ac_in1_1.csv"
"265",7,"vn_interzone_gain",52357.7132843297,"U001_Caso01_1a7_ac_in1_1.csv"
"266",8,"internal_gains",66968.0676352748,"U001_Caso01_1a7_ac_in1_1.csv"
"267",8,"cooling",-80614.2466582169,"U001_Caso01_1a7_ac_in1_1.csv"
"268",8,"heating",3103.84464010406,"U001_Caso01_1a7_ac_in1_1.csv"
"269",8,"vn_window_loss",-22809.3259015481,"U001_Caso01_1a7_ac_in1_1.csv"
"270",8,"vn_window_gain",1687.01730145403,"U001_Caso01_1a7_ac_in1_1.csv"
"271",8,"vn_interzone_loss",-12098.6130218225,"U001_Caso01_1a7_ac_in1_1.csv"
"272",8,"vn_interzone_gain",50404.2724821648,"U001_Caso01_1a7_ac_in1_1.csv"
"273",9,"internal_gains",64355.2407664339,"U001_Caso01_1a7_ac_in1_1.csv"
