"","month","gains_losses","value","case","city","app","case_graph","gains","exchange","MonthAbb","per"
"106",6,"south_extwalls_convection_loss",-3707.54770667004,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Jun",0.0152
"107",6,"east_extwalls_convection_loss",-5.72091606428795,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Jun",0
"108",6,"south_windows_convection_loss",-2204.75723084779,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Jun",0.009
"109",7,"none_roof_convection_loss",-474.841360923977,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Jul",0.0018
"110",7,"none_floor_convection_loss",-2240.99632070132,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Jul",0.0087
"111",7,"none_intwalls_convection_loss",-6842.10527690637,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Jul",0.0265
"112",7,"south_extwalls_convection_loss",-3989.7400267545,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Jul",0.0154
"113",7,"east_extwalls_convection_loss",-15.3567404518111,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Jul",1e-04
"114",7,"south_windows_convection_loss",-2487.53924627298,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Jul",0.0096
"115",8,"none_roof_convection_loss",-530.185585172366,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Aug",0.0019
"116",8,"none_floor_convection_loss",-2749.81934935612,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Aug",0.0099
"117",8,"none_intwalls_convection_loss",-8131.61309697031,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Aug",0.0294
"118",8,"south_extwalls_convection_loss",-4308.86998609934,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Aug",0.0156
"119",8,"east_extwalls_convection_loss",-7.2609666824706,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Aug",0
"120",8,"south_windows_convection_loss",-2620.2336567135,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Aug",0.0095
"121",9,"none_roof_convection_loss",-399.734579456492,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Sep",0.0014
"122",9,"none_floor_convection_loss",-3090.51086307805,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Sep",0.0111
"123",9,"none_intwalls_convection_loss",-8499.04384638597,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Sep",0.0306
"124",9,"south_extwalls_convection_loss",-3042.17569803315,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Sep",0.011
"125",9,"east_extwalls_convection_loss",-10.0356705523466,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Sep",0
"126",9,"south_windows_convection_loss",-2349.88830158001,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Sep",0.0085
"127",10,"none_roof_convection_loss",-405.031831431546,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Oct",0.0014
"128",10,"none_floor_convection_loss",-3673.77791434256,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Oct",0.0127
"129",10,"none_intwalls_convection_loss",-9599.33357076239,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Oct",0.0331
"130",10,"south_extwalls_convection_loss",-694.914183544989,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Oct",0.0024
"131",10,"east_extwalls_convection_loss",-15.9997453938507,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Oct",1e-04
"132",10,"south_windows_convection_loss",-2481.95589845512,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Oct",0.0086
"133",11,"none_roof_convection_loss",-414.559753206572,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Nov",0.0014
"134",11,"none_floor_convection_loss",-4350.58262322341,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Nov",0.0144
"135",11,"none_intwalls_convection_loss",-9700.40970453512,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Nov",0.032
"136",11,"south_extwalls_convection_loss",-0.829148997830801,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Nov",0
"137",11,"east_extwalls_convection_loss",-5.87054418614241,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Nov",0
"138",11,"south_windows_convection_loss",-2057.79521390509,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Nov",0.0068
"139",12,"none_roof_convection_loss",-441.429623961782,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Dec",0.0015
"140",12,"none_floor_convection_loss",-3644.66361834455,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Dec",0.0125
"141",12,"none_intwalls_convection_loss",-9296.95422187257,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Dec",0.032
"142",12,"south_extwalls_convection_loss",-15.7238679208314,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Dec",1e-04
"143",12,"east_extwalls_convection_loss",-24.1969024764115,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Dec",1e-04
"144",12,"south_windows_convection_loss",-2604.35913048195,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Dec",0.009
"145",1,"internal_gains",32496.8017215663,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","internal_gains","Jan",0.1283
"146",1,"cooling",-226691.078716865,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","cooling","Jan",0.8995
"147",1,"heating",0,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","heating","Jan",0
"148",1,"vn_window_loss",-360.862911324966,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","vn_window","Jan",0.0014
"149",1,"vn_window_gain",145.366035004841,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","vn_window","Jan",6e-04
"150",1,"vn_interzone_loss",-11448.449192571,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","vn_interzone","Jan",0.0454
"151",1,"vn_interzone_gain",4786.62494524607,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","vn_interzone","Jan",0.0189
"152",2,"internal_gains",29362.9819898303,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","internal_gains","Feb",0.1389
"153",2,"cooling",-189444.075878287,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","cooling","Feb",0.9011
"154",2,"heating",0,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","heating","Feb",0
"155",2,"vn_window_loss",-222.56339007541,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","vn_window","Feb",0.0011
"156",2,"vn_window_gain",139.111912236836,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","vn_window","Feb",7e-04
